sentiment,id,date,query,user,tweet
Negative,2194805880,Tue Jun 16 10:17:07 PDT 2009,NO_QUERY,shayes287,"ugh no, rcn had all the true blood episodes on demand now it only has 10-13 "
Negative,1981855572,Sun May 31 10:01:48 PDT 2009,NO_QUERY,meowzem,awww little @ari_elle what's the matter 
Positive,2187903177,Mon Jun 15 20:59:10 PDT 2009,NO_QUERY,Graham_Morrison,SO excited about Peaches tomorrow! I think I'm going to bed early so I can be well rested. Night Tweeple! 
Positive,1998653840,Mon Jun 01 18:54:28 PDT 2009,NO_QUERY,Aunt_Nancy,@jblossom Part of the MMG group.  
Positive,1752750916,Sat May 09 22:52:03 PDT 2009,NO_QUERY,SimbaMtoto,"Am good thanks, what's Miami saying? How come u wrote to me? "
Positive,1971134315,Sat May 30 06:18:39 PDT 2009,NO_QUERY,PlishPlosh,@adrenalinerushx http://twitpic.com/66gst -  WE MUST GO AGAIN and i'm still gettigt the hang of twitter never knew there was a twitpic
Negative,2286313837,Mon Jun 22 16:16:36 PDT 2009,NO_QUERY,rosemarysbaby13,"is home but only temporarily will be leaving on wednesday, i don't want to go back to the box!  "
Positive,1559741906,Sun Apr 19 11:56:02 PDT 2009,NO_QUERY,DAMurray,@aintnosunshyne 5 mins till game time!  Wish you were here though...
Positive,1827077445,Sun May 17 09:56:46 PDT 2009,NO_QUERY,Arina_A,"AHHHHHHHHHHHHHHHHHHH! 200 FOLLOWERS! And for this great event, I will now be sending virtual hugs to everyone in the world. "
Negative,2013549255,Tue Jun 02 22:57:12 PDT 2009,NO_QUERY,fancycashwell,OMG....does anyone have an easy fix for charlie horses???....my morning runs are catching up to me 
Negative,2051605860,Fri Jun 05 22:23:35 PDT 2009,NO_QUERY,xxlucyh,@hmtangx panda! my frostwire wont connect to the internet!! sand  i allowed it in the FIREWALL thingy. but still doesnt work  HELP..
Positive,1574130857,Tue Apr 21 04:22:09 PDT 2009,NO_QUERY,Arual_Sinned,"@Bluecherub Thanks!! Went well, had a really nice doctor and she gave me some medicen, now we wait and see  Glad Tobin likes them, bless!"
Negative,1881739816,Fri May 22 05:26:44 PDT 2009,NO_QUERY,xxhale95,i always thought it was thursday todayy.. blahh its friday! which means in 2 days school starts again. 
Negative,1993422950,Mon Jun 01 10:21:08 PDT 2009,NO_QUERY,jaciebell,"I smell like mustard, my hair is drenched and my shirt is covered in black stuff from the dumass food fight  I got hit before everyone lol"
Positive,1997714570,Mon Jun 01 17:19:54 PDT 2009,NO_QUERY,JoseVLara,its almost dinner time!!!! 
Positive,1573112344,Mon Apr 20 23:46:11 PDT 2009,NO_QUERY,melbournegirl77,back on here later tonight. SO bye for now my beautful friends. Keep sending the love  xoxo
Negative,2018093035,Wed Jun 03 09:25:34 PDT 2009,NO_QUERY,ophelia24,So I haven't gotten much of a chance to be on here lately because of work and I won't be on here today either. 
Positive,2067471127,Sun Jun 07 12:24:10 PDT 2009,NO_QUERY,adamy,@rawitat Thwirl for me at the moment ... simple yet powerful ... also stylish 
Positive,1880570194,Fri May 22 01:42:49 PDT 2009,NO_QUERY,Angel423,@Christian03 waaaaaaaaaaaahhhhhhhhhhhhhhhhhh!!!!!!!!!!!!!!!!!!!!!!! 
Positive,1685520050,Sun May 03 00:45:41 PDT 2009,NO_QUERY,Hawaiibadboy,The &quot;Student Store&quot; is rolling right along 
Negative,2048828564,Fri Jun 05 15:50:34 PDT 2009,NO_QUERY,Eamon1916,Shocking no wifi @ backwoods rest area 
Negative,2057777292,Sat Jun 06 13:38:30 PDT 2009,NO_QUERY,leigh_estar,Yay off of work! but *ugh* traffic sucks butt  and its only on base!
Negative,1984731720,Sun May 31 15:41:42 PDT 2009,NO_QUERY,LettuceB,"@kjbrown13 know that feeling we got new neighbors last year and they are not what you call &quot;friendly&quot;, liked the people there before "
Negative,2014095044,Wed Jun 03 00:26:41 PDT 2009,NO_QUERY,nicklacroix,"@majornelson I seriously have to pay $99 for the &quot;open tray&quot; problem? Put disk in, says open tray. Tried mult disks and tips from YouTube "
Negative,2052612078,Sat Jun 06 01:20:45 PDT 2009,NO_QUERY,Flutterflyyy,"@Travismtv Well I'm ms. Lonely.... Hmmmmm.... LOL, summin in common ;) haha I dnt even know why I reply 2 ya, not like u see em nyways "
Negative,2065632338,Sun Jun 07 08:59:30 PDT 2009,NO_QUERY,sammyjayne74,"Have had eaten hardly anything all weekend, but doesn't feel hungry. Can't taste anything... stooopid cold "
Positive,1955814899,Thu May 28 20:40:13 PDT 2009,NO_QUERY,kellbell68,"@kev_mck Went to a baseball game today w/a bunch of people from work. Had a great time... rained on us, but it was fun! "
Positive,1978274871,Sat May 30 22:53:42 PDT 2009,NO_QUERY,abbey_dawn_08,@Divinesally nice nice name! 
Negative,2249752535,Fri Jun 19 22:57:04 PDT 2009,NO_QUERY,AJC316,"*loser*...not! My bestie is just out of town  might be able to find someone else,b/c I feel acward..oh well!"
